product_id,category,name,minimum_deposit,monthly_fee,interest_rate,requirements_to_waive_fee,key_features,digital_features,target_customers,comparison_highlights,account_requirements
ACC001,Savings,Basic Savings Account,₹1000,₹150,3.5,"Maintain Quarterly Average Balance (QAB) of ₹5000","Free RuPay debit card, 5 free ATM transactions, passbook","Mobile banking, UPI enabled, SMS alerts, eStatement","New customers, students, basic banking needs","No frills basic account with low minimum balance","Valid ID (Aadhaar/PAN), address proof, photograph"
ACC002,Savings,Premium Savings Account,₹10000,₹500,4.0,"Maintain QAB of ₹25000","Free Platinum debit card, unlimited ATM transactions, free DD/NEFT/RTGS, relationship manager","Priority digital service, advanced budgeting tools, WhatsApp banking","High-value customers, professionals, established banking relationships","Higher interest than competitors, comprehensive fee waivers with balance requirements","PAN card, Aadhaar, address proof, income proof"
ACC003,Savings,Digital Savings Account,₹0,₹0,3.75,"None - Zero Balance Account","Fully digital account opening, virtual debit card, unlimited transactions, 5 free ATM withdrawals","Video KYC, enhanced mobile features, AI-powered insights, instant notifications","Tech-savvy customers, young professionals, digital-first banking users","Zero fees, higher interest than traditional savings, paperless onboarding","Aadhaar, PAN, video KYC, smartphone"
ACC004,Savings,Senior Citizen Savings,₹1000,₹75,4.5,"Maintain QAB of ₹5000","Higher interest rate, doorstep banking, dedicated counter, free services","Simplified mobile banking interface, large-text statements, voice banking","Senior citizens above 60 years","Higher interest than regular savings, special priority services","Age proof, Aadhaar, PAN, address proof"
ACC005,Current,Basic Current Account,₹5000,₹500,0,"Maintain Monthly Average Balance (MAB) of ₹10000","Cheque book, cash deposit machine access, NEFT/RTGS/IMPS","Business mobile banking, vendor payment solutions","Small businesses, shopkeepers, entrepreneurs","Low minimum balance requirement, essential business features","Business registration proof, PAN, Aadhaar, address proof"
ACC006,Current,Premium Business Account,₹25000,₹1000,0,"Maintain MAB of ₹50000","Dedicated relationship manager, cash pickup, bulk transaction discounts, trade services","Integrated business banking app, API banking, multi-user access","Medium to large businesses, established firms","Free RTGS/NEFT, cash management services, trade finance options","GST registration, business incorporation documents, financial statements, KYC for all directors"
FD001,Deposit,Fixed Deposit,₹10000,0,6.5,"N/A","Fixed interest rate, flexible tenures (7 days to 10 years), loan against FD","Online FD booking, auto-renewal, interest calculator","Conservative investors, regular income seekers","Competitive interest rates, flexible tenure options","KYC documents, existing account holder"
FD002,Deposit,Tax Saver Fixed Deposit,₹500,0,6.75,"N/A","5-year lock-in period, tax benefits under 80C, maximum investment ₹1.5 lakhs","Online booking, tax benefit calculator","Tax-saving investors, salaried individuals","Higher interest rates, tax benefits under Section 80C","PAN card, Aadhaar, existing account"
FD003,Deposit,Senior Citizen FD,₹10000,0,7.0,"N/A","Additional 0.5% interest for seniors, monthly interest payout option","Online booking, automatic renewals, alerts before maturity","Senior citizens, retirement planning","Highest FD rates in market for seniors, flexible payout options","Age proof, KYC documents, existing account"
RD001,Deposit,Recurring Deposit,₹500,0,6.0,"N/A","Monthly contributions, fixed interest rate, tenure 6-120 months","Auto-debit facility, maturity calculator, goal planning","Regular income earners, systematic savers","Flexible monthly contribution, disciplined savings option","KYC documents, existing account for auto-debit"
